Year,Value
2004,50.4
2005,49.6
2006,50.1
2007,48.3
2008,43.6
2009,43.8
2010,45.4
2011,42.9
2012,42.7
2013,43.0
2014,42.9
2015,40.7
2016,38.3
2017,38.1
2018,37.8
2019,37.2
2020,36.5
2021,35.6
2022,34.4
2023,34.2
2024,34.4
