Year,Value
2000,5.07
2001,4.95
2002,5.0
2003,4.89
2004,4.98
2005,4.9
2006,4.84
2007,4.63
2008,4.76
2009,4.9
2010,4.65
2011,4.58
2012,4.4
2013,4.43
2014,4.55
2015,4.73
2016,4.66
2017,4.64
2018,4.54
2019,4.39
2020,4.41
2021,4.22
2022,4.12
