From,To
UNIT_MULT,SOURCE_DETAIL
Source details,COMMENT_OBS
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Unit of measure,Observation-level footnotes
Observation-level footnotes,Source details
