Year,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Source details,Value
2018,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,4.34
2019,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,4.34
2020,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area with a long-term management plan [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,4.34
2000,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,32.72
2010,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,32.51
2015,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.32
2016,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.36
2017,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.41
2018,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.46
2019,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.46
2020,0,Official country data,FAO. Global Forest Resources Assessment 2020,Proportion of forest area within legally established protected areas [15.2.1],Percent,Units,Official country data,FAO. Global Forest Resources Assessment 2020,33.46
