From,To
OBS_STATUS,NATURE
NATURE,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Unit of measure,Nature of data points
Nature of data points,Observation-level footnotes
Observation-level footnotes,Source details
