From,To
UNIT_MULT,UPPER_BOUND
UPPER_BOUND,LOWER_BOUND
LOWER_BOUND,SDG Series
SDG Series,Unit of measure
Lower bound value,Sex
Unit of measure,Upper bound value
Upper bound value,Lower bound value
