From,To
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Observation-level footnotes,Composite breakdown
Observation-level footnotes,Economic activity
Unit of measure,Nature of data points
Nature of data points,Source details
Source details,COMMENT_OBS
Source details,BASE_PER
COMMENT_OBS,Observation-level footnotes
BASE_PER,Base period
