Year,Value
2010,21811703.0
2011,22415224.0
2012,22763712.0
2013,23545928.0
2014,12283203.0
2015,13642040.0
2016,11770703.0
2017,11626062.0
2018,11645569.0
2019,8321398.0
2020,10597676.0
2021,10649944.0
2022,7842727.2
2023,9778105.0
