Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1164.16
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1061.91
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1036.5
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",942.838
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1037.37
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",966.878
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1531.78
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1356.34
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1050.69
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",891.694
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",813.877
