Year,SOURCE_DETAIL,SDG Series,Source details,Value
2017,"Ministry of Water, Sanitation and Irrigation",Degree of integrated water resources management implementation (%) [6.5.1],"Ministry of Water, Sanitation and Irrigation",53
2020,"Ministry of Water, Sanitation and Irrigation",Degree of integrated water resources management implementation (%) [6.5.1],"Ministry of Water, Sanitation and Irrigation",59
2023,"Ministry of Water, Sanitation and Irrigation",Degree of integrated water resources management implementation (%) [6.5.1],"Ministry of Water, Sanitation and Irrigation",62
2017,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",63
2020,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",73
2023,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",74
2017,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, financing (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",40
2020,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, financing (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",40
2023,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, financing (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",43
2017,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",59
2020,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",72
2023,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",74
2017,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, management instruments (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",48
2020,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, management instruments (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",49
2023,"Ministry of Water, Sanitation and Irrigation  ","Degree of integrated water resources management implementation, management instruments (%) [6.5.1]","Ministry of Water, Sanitation and Irrigation  ",56
