Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services [1.4.1],,47.52154
2001,Proportion of population using basic drinking water services [1.4.1],,48.2519
2002,Proportion of population using basic drinking water services [1.4.1],,48.97944
2003,Proportion of population using basic drinking water services [1.4.1],,49.70406
2004,Proportion of population using basic drinking water services [1.4.1],,50.42562
2005,Proportion of population using basic drinking water services [1.4.1],,51.14309
2006,Proportion of population using basic drinking water services [1.4.1],,51.8573
2007,Proportion of population using basic drinking water services [1.4.1],,52.56813
2008,Proportion of population using basic drinking water services [1.4.1],,53.27547
2009,Proportion of population using basic drinking water services [1.4.1],,53.97832
2010,Proportion of population using basic drinking water services [1.4.1],,54.67747
2011,Proportion of population using basic drinking water services [1.4.1],,55.37487
2012,Proportion of population using basic drinking water services [1.4.1],,56.06989
2013,Proportion of population using basic drinking water services [1.4.1],,56.7631
2014,Proportion of population using basic drinking water services [1.4.1],,57.45347
2015,Proportion of population using basic drinking water services [1.4.1],,58.14116
2016,Proportion of population using basic drinking water services [1.4.1],,58.82594
2017,Proportion of population using basic drinking water services [1.4.1],,59.50757
2018,Proportion of population using basic drinking water services [1.4.1],,60.18618
2019,Proportion of population using basic drinking water services [1.4.1],,60.86078
2020,Proportion of population using basic drinking water services [1.4.1],,61.53187
2021,Proportion of population using basic drinking water services [1.4.1],,62.19884
2022,Proportion of population using basic drinking water services [1.4.1],,62.86178
2000,Proportion of population using basic drinking water services [1.4.1],Rural,37.52961
2001,Proportion of population using basic drinking water services [1.4.1],Rural,38.24283
2002,Proportion of population using basic drinking water services [1.4.1],Rural,38.95624
2003,Proportion of population using basic drinking water services [1.4.1],Rural,39.66985
2004,Proportion of population using basic drinking water services [1.4.1],Rural,40.38366
2005,Proportion of population using basic drinking water services [1.4.1],Rural,41.09767
2006,Proportion of population using basic drinking water services [1.4.1],Rural,41.81188
2007,Proportion of population using basic drinking water services [1.4.1],Rural,42.52629
2008,Proportion of population using basic drinking water services [1.4.1],Rural,43.24089
2009,Proportion of population using basic drinking water services [1.4.1],Rural,43.9557
2010,Proportion of population using basic drinking water services [1.4.1],Rural,44.67071
2011,Proportion of population using basic drinking water services [1.4.1],Rural,45.38591
2012,Proportion of population using basic drinking water services [1.4.1],Rural,46.10131
2013,Proportion of population using basic drinking water services [1.4.1],Rural,46.81692
2014,Proportion of population using basic drinking water services [1.4.1],Rural,47.53272
2015,Proportion of population using basic drinking water services [1.4.1],Rural,48.24872
2016,Proportion of population using basic drinking water services [1.4.1],Rural,48.96492
2017,Proportion of population using basic drinking water services [1.4.1],Rural,49.68132
2018,Proportion of population using basic drinking water services [1.4.1],Rural,50.39791
2019,Proportion of population using basic drinking water services [1.4.1],Rural,51.11471
2020,Proportion of population using basic drinking water services [1.4.1],Rural,51.83171
2021,Proportion of population using basic drinking water services [1.4.1],Rural,52.5489
2022,Proportion of population using basic drinking water services [1.4.1],Rural,53.2663
2000,Proportion of population using basic drinking water services [1.4.1],Urban,87.76051
2001,Proportion of population using basic drinking water services [1.4.1],Urban,87.69721
2002,Proportion of population using basic drinking water services [1.4.1],Urban,87.63385
2003,Proportion of population using basic drinking water services [1.4.1],Urban,87.57041
2004,Proportion of population using basic drinking water services [1.4.1],Urban,87.50691
2005,Proportion of population using basic drinking water services [1.4.1],Urban,87.44333
2006,Proportion of population using basic drinking water services [1.4.1],Urban,87.37969
2007,Proportion of population using basic drinking water services [1.4.1],Urban,87.31597
2008,Proportion of population using basic drinking water services [1.4.1],Urban,87.25219
2009,Proportion of population using basic drinking water services [1.4.1],Urban,87.18833
2010,Proportion of population using basic drinking water services [1.4.1],Urban,87.12441
2011,Proportion of population using basic drinking water services [1.4.1],Urban,87.06041
2012,Proportion of population using basic drinking water services [1.4.1],Urban,86.99635
2013,Proportion of population using basic drinking water services [1.4.1],Urban,86.93222
2014,Proportion of population using basic drinking water services [1.4.1],Urban,86.86801
2015,Proportion of population using basic drinking water services [1.4.1],Urban,86.80374
2016,Proportion of population using basic drinking water services [1.4.1],Urban,86.7394
2017,Proportion of population using basic drinking water services [1.4.1],Urban,86.67499
2018,Proportion of population using basic drinking water services [1.4.1],Urban,86.6105
2019,Proportion of population using basic drinking water services [1.4.1],Urban,86.54595
