Year,UPPER_BOUND,LOWER_BOUND,Value
2000,543.78732,365.10637,445.12015
2001,530.30917,356.06966,433.37642
2002,534.96681,358.80498,436.41866
2003,522.94276,352.15645,428.75281
2004,520.16869,346.69489,426.03902
2005,527.55202,352.61514,433.57038
2006,549.92159,363.98321,449.63442
2007,583.46371,382.9981,474.91814
2008,599.60951,389.61336,483.96396
2009,620.99648,400.64438,498.30713
2010,619.19096,398.41245,498.38003
2011,617.13982,391.11882,494.75072
2012,623.61187,390.29089,496.62397
2013,608.63771,376.0764,485.11647
2014,602.68817,362.91471,471.91453
2015,587.04846,346.15959,453.38932
2016,573.09609,334.62991,440.93398
2017,566.12351,322.5028,427.55692
2018,575.89353,320.99407,427.99848
2019,565.97381,307.04922,414.88359
2020,587.50142,304.87852,421.1587
2021,589.93199,297.88234,420.85372
2022,556.41437,271.08027,388.4454
2023,546.78882,267.03683,378.79578
