Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2022,Ministry of Environment and Forestry,Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) [15.9.1],,Ministry of Environment and Forestry,1
2022,Ministry of Environment and Forestry,Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) [15.9.1],"ABT2 status: National target reflecting ABT2  exists and progress is there, but at as insufficient rate",Ministry of Environment and Forestry,1
2024,UNSTATS / WESR,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO) [15.9.1]",,UNSTATS / WESR,1
2024,UNSTATS / WESR,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO) [15.9.1]",Level/Status: Dissemination,UNSTATS / WESR,1
