Year,COMMENT_OBS,SOURCE_DETAIL,Value
2020,UN-Habitat Global Survey on National Urban Policies 2018 & 2020,NUP 2020 Status,1
2023,UN-Habitat/OECD Global Survey on National Urban Policies 2023,NUP 2023 Status,1
