Year,COMMENT_OBS,Value
2007,Partial data,56.1911
2010,Break in series with previous year for which data are available,226.90023
2022,Excluding Business enterprise;Excluding Private non-profit;Partial data;Break in series with previous year for which data are available,168.60477
2023,Excluding Business enterprise;Excluding Private non-profit;Partial data,200.85225
