Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.5
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.4
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.5
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.6
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.6
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.6
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.5
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.6
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.6
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.4
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.3
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,169.3
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.5
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.9
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.9
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.9
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.7
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,8.6
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.2
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.3
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.4
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.4
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.9
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.8
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.9
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.7
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.8
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 02,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,24.8
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,323.4
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,340.2
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,345.3
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,368.1
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,430.4
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Artificial surfaces,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,471.9
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,3744.5
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,3968.4
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,4158
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,4313.2
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,4316.3
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Croplands,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,4318.4
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1640.9
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1537
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1467.1
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1415.4
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1406.7
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Grassland,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1401
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,2.6
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,2.5
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,3.7
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,5.4
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,5.6
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Inland water bodies,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,5.8
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11811.8
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11795.1
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11788.8
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11764.3
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11701.7
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: MGCI,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,11660
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Permanent snow and glaciers,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,2.1
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,2.1
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1.1
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0.3
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0.3
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0.3
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,445
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,444.6
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,417.3
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,417.9
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,437
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,449.7
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 03,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,0
