Value,Disaggregation combinations using this value,Number of indicators
Number of damaged critical infrastructure attributed to disasters [11.5.3],1,1
Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],1,1
Number of destroyed or damaged health facilities attributed to disasters [11.5.3],1,1
Number of disruptions to basic services attributed to disasters [11.5.3],1,1
Number of disruptions to educational services attributed to disasters [11.5.3],1,1
Number of disruptions to health services attributed to disasters [11.5.3],1,1
Number of disruptions to other basic services attributed to disasters [11.5.3],1,1
