Year,UPPER_BOUND,LOWER_BOUND,Age,Upper bound value,Lower bound value,Value
2018,31.0,14.1,15 years old and over,31.0,14.1,21.4
2018,32.8,15.1,15 to 49 years old,32.8,15.1,22.8
