Year,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,COMMENT_OBS,Value
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Lower secondary education,,,92.86307
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Upper secondary education,,,29.30375
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Upper secondary education,,,40.17688
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Upper secondary education,,,48.5455
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Upper secondary education,,,73.47929
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Primary education,,,78.45617
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Primary education,,,89.96045
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Primary education,,,96.4865
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Primary education,,,96.38455
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Lower secondary education,,,65.43276
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Lower secondary education,,,92.16402
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Lower secondary education,,,92.77843
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Lower secondary education,,,89.711
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Upper secondary education,,,38.28409
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Upper secondary education,,,33.31684
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Upper secondary education,,,65.76234
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 5 (richest),Upper secondary education,,,72.3338
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,Urban,,Primary education,,,82.25
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,71.18419
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,87.1231
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,Urban,,Primary education,,,76.34898
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,91.9483
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,88.59476
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,88.53899
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Primary education,,,91.76796
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,70.79
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,62.12915
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,76.58765
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,Urban,,Lower secondary education,,,66.92847
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,82.67728
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,83.43935
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,83.48971
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Lower secondary education,,,90.38894
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,38.74
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,40.20634
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,52.76976
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,Urban,,Upper secondary education,,,41.80125
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,56.45652
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,72.77104
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,70.32464
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,,Upper secondary education,,,73.44364
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,,27.39834
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,,77.14938
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,,68.78902
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,19.72224
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,50.91409
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,56.85668
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,10.25358
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,31.22367
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Primary education,,,66.62145
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Primary education,,,64.20328
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Primary education,,,86.14313
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Primary education,,,85.44331
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,56.6192
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,66.24203
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,74.78129
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,25.10775
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 2,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,39.13068
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Primary education,,,48.92943
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Primary education,,,84.30862
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Primary education,,,90.79438
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Primary education,,,84.91825
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Lower secondary education,,,34.21786
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Lower secondary education,,,47.95257
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Lower secondary education,,,72.0349
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Lower secondary education,,,82.16671
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,23.27229
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,31.63556
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 3,Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,45.51554
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Primary education,,,59.98451
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Primary education,,,82.55537
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Primary education,,,90.96133
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Primary education,,,94.46096
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Lower secondary education,,,47.37385
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Lower secondary education,,,62.61728
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Lower secondary education,,,82.38499
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Lower secondary education,,,93.40492
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Upper secondary education,,,18.07941
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Upper secondary education,,,22.55647
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Upper secondary education,,,50.28326
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 4,Upper secondary education,,,71.71577
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Primary education,,,78.35543
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Primary education,,,89.78146
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Primary education,,,96.55643
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Primary education,,,94.24163
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Lower secondary education,,,68.20119
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Lower secondary education,,,82.58096
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Lower secondary education,,,92.01495
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Lower secondary education,,,93.1796
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Upper secondary education,,,45.02957
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Upper secondary education,,,58.84174
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Upper secondary education,,,71.27964
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Urban,Quintile 5 (richest),Upper secondary education,,,82.74406
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,Female,,,Primary education,,,67.32
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,58.60131
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,81.89836
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,,,Primary education,,,63.32244
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,86.92873
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,83.93457
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,81.67189
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Primary education,,,92.95242
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,47.8
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,40.6006
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,62.83171
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,,,Lower secondary education,,,50.85428
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,74.89953
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,76.00428
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,75.35932
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Lower secondary education,,,86.16653
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,23.16
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,22.97299
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,28.47834
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,,,Upper secondary education,,,26.122
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,39.06395
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,56.19603
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,51.06171
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,,Upper secondary education,,,58.3203
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Primary education,,,32.08315
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Primary education,,,55.29663
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Primary education,,,65.33229
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Primary education,,,83.69755
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Lower secondary education,,,12.45121
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Lower secondary education,,,32.4938
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Lower secondary education,,,42.65427
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Lower secondary education,,,64.46434
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Upper secondary education,,,1.87939
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Upper secondary education,,,2.64726
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Upper secondary education,,,6.51375
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 1 (poorest),Upper secondary education,,,19.49695
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Primary education,,,52.27896
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Primary education,,,80.7029
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Primary education,,,83.57052
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Primary education,,,94.99457
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Lower secondary education,,,31.75689
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Lower secondary education,,,53.04952
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Lower secondary education,,,64.89601
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Lower secondary education,,,87.14211
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Upper secondary education,,,6.03035
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Upper secondary education,,,9.83301
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Upper secondary education,,,17.31205
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 2,Upper secondary education,,,37.1559
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Primary education,,,61.87583
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Primary education,,,89.609
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Primary education,,,92.0153
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Primary education,,,94.8272
