Year,COMMENT_OBS,Sex,Age,Degree of urbanisation,Composite breakdown,Observation-level footnotes,Value
2019,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),Male,,,ICT skill: Purchasing or ordering goods or services using the Internet,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),3.2
2015,,Male,,,ICT skill: Using Internet banking,,0.7
2015,,Male,,,ICT skill: Participating in social networks,,14.7
2015,,Male,,,ICT skill: Telephoning over the Internet/VoIP,,0.4
2019,Target population is 15 years and above (3 and above for other indicators),Male,,Rural,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),1.3
2019,Target population is 15 years and above (3 and above for other indicators),Male,,Urban,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),7.6
2015,,Male,75 years old and over,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,1.2
2019,,Male,75 years old and over,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.4
2015,,Male,75 years old and over,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.2
2015,,Male,75 years old and over,,ICT skill: Using Internet banking,,0.2
2015,,Male,75 years old and over,,ICT skill: Participating in social networks,,0.4
2015,,Male,75 years old and over,,ICT skill: Telephoning over the Internet/VoIP,,0.7
2015,,Male,under 15 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,0.3
2015,,Male,under 15 years old,,ICT skill: Doing a formal online course,,0.0
2015,,Male,under 15 years old,,ICT skill: Participating in social networks,,0.7
2015,,Male,under 15 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.0
2015,,Male,15 to 24 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,11.0
2015,,Male,15 to 24 years old,,ICT skill: Doing a formal online course,,0.4
2015,,Male,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.3
2019,,Male,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,3.6
2015,,Male,15 to 24 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.2
2015,,Male,15 to 24 years old,,ICT skill: Using Internet banking,,0.4
2015,,Male,15 to 24 years old,,ICT skill: Participating in social networks,,26.3
2015,,Male,15 to 24 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.6
2015,,Male,25 to 74 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,15.1
2015,,Male,25 to 74 years old,,ICT skill: Doing a formal online course,,0.5
2015,,Male,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.7
2019,,Male,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,5.9
2015,,Male,25 to 74 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.8
2015,,Male,25 to 74 years old,,ICT skill: Using Internet banking,,1.6
2015,,Male,25 to 74 years old,,ICT skill: Participating in social networks,,21.5
2015,,Male,25 to 74 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.7
