Year,UPPER_BOUND,LOWER_BOUND,Value
2000,839,182,451
2001,982,178,499
2002,1090,174,534
2003,1350,161,610
2004,1440,155,634
2005,1420,156,630
2006,1490,153,646
2007,1380,159,618
2008,1190,169,564
2009,1200,169,566
2010,1080,174,531
2011,1000,177,506
2012,897,181,471
2013,816,182,443
2014,761,183,423
2015,651,182,380
2016,573,179,348
2017,505,175,319
2018,446,170,292
2019,396,163,267
2020,372,152,251
2021,377,152,253
2022,361,144,245
2023,338,128,223
