Year,SDG Series,Value
2019,Age-standardized mortality rate attributed to ambient air pollution [3.9.1],33
2019,Age-standardized mortality rate attributed to household air pollution [3.9.1],113
2019,Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1],132
