Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2005,55.3,29.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,42.3
2006,55,28.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,41.6
2007,54.7,27.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,40.9
2008,54.3,26.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,40.2
2009,54.2,26,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,39.6
2010,54,25.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,39.1
2011,53.9,24.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.8
2012,53.7,24.7,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.6
2013,53.5,24.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.5
2014,53.7,24.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.5
2015,53.6,24.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.5
2016,53.9,24.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.5
2017,53.9,24,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.6
2018,54.5,23.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.7
2019,55.3,23.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.8
2020,56,23,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,38.9
2021,57.2,22.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,39.1
2022,58.6,22.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,39.5
2023,60.1,21.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",60.1,21.4,39.8
