Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,33.5435,33.5435,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.5435
2001,33.58119,33.58119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.58119
2002,33.58119,33.58119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.58119
2003,33.58119,33.58119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.58119
2004,33.58119,33.58119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.58119
2005,33.60017,33.60017,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.60017
2006,33.70788,33.70788,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.70788
2007,33.70788,33.70788,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.70788
2008,33.70788,33.70788,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.70788
2009,33.91415,33.91415,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,33.91415
2010,38.07548,38.07548,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.07548
2011,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2012,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2013,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2014,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2015,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2016,38.63254,38.63254,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.63254
2017,38.88482,38.88482,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88482
2018,38.88482,38.88482,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88482
2019,38.88482,38.88482,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88482
2020,38.88917,38.88917,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88917
2021,38.88917,38.88917,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88917
