Year,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2000,0,40.3,36.8,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,38.6
2001,0,40.2,36.9,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,38.5
2002,0,40.1,36.9,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,38.5
2003,0,39.7,36.7,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,38.2
2004,0,39.3,36.3,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,37.8
2005,0,38.8,35.9,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,37.3
2006,0,38.2,35.2,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,36.7
2007,0,37.3,34.2,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,35.7
2008,0,36.2,33.1,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,34.6
2009,0,34.9,31.8,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,33.3
2010,0,33.4,30.4,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,31.9
2011,0,31.9,28.9,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,30.4
2012,0,30.4,27.6,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,29.0
2013,0,29,26.4,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,27.7
2014,0,27.8,25.2,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,26.5
2015,0,26.6,24.2,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,25.4
2016,0,25.5,23,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,24.3
2017,0,24.4,21.9,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,23.1
2018,0,23.4,20.7,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,22.0
2019,0,22.4,19.5,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,20.9
2020,0,21.5,18.5,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,20.0
2021,0,20.9,17.6,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,19.2
2022,0,20.5,17,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,18.7
2023,0,20.2,16.4,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,18.2
2024,0,20,16,Proportion of children moderately or severely stunted [2.2.1],,Percent,Units,20,16,17.9
2000,0,37.5,34.1,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,35.8
2001,0,37.5,34.2,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,35.8
2002,0,37.3,34.2,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,35.8
2003,0,37,34.1,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,35.5
2004,0,36.6,33.7,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,35.2
2005,0,36.2,33.3,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,34.7
2006,0,35.6,32.6,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,34.1
2007,0,34.7,31.7,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,33.2
2008,0,33.6,30.5,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,32.1
2009,0,32.3,29.3,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,30.8
2010,0,30.9,27.9,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,29.4
2011,0,29.3,26.5,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,27.9
2012,0,27.9,25.2,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,26.5
2013,0,26.5,24,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,25.3
2014,0,25.3,22.9,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,24.1
2015,0,24.2,21.9,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,23.1
2016,0,23.2,20.9,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,22.0
2017,0,22.2,19.8,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,21.0
2018,0,21.2,18.7,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,19.9
2019,0,20.3,17.6,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,18.9
2020,0,19.5,16.6,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,18.0
2021,0,18.8,15.8,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,17.3
2022,0,18.5,15.2,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,16.8
2023,0,18.2,14.7,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,16.4
2024,0,18,14.3,Proportion of children moderately or severely stunted [2.2.1],Female,Percent,Units,18,14.3,16.1
2000,0,43.2,39.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,41.4
2001,0,43.1,39.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,41.3
2002,0,42.9,39.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,41.2
2003,0,42.5,39.4,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,40.9
2004,0,42.1,39,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,40.5
2005,0,41.6,38.5,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,40.0
2006,0,40.9,37.8,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,39.3
2007,0,40,36.8,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,38.4
2008,0,38.9,35.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,37.3
2009,0,37.6,34.3,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,36.0
2010,0,36.2,32.9,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,34.5
2011,0,34.6,31.5,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,33.0
2012,0,33.1,30.1,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,31.6
2013,0,31.7,28.8,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,30.2
2014,0,30.4,27.7,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,29.0
2015,0,29.2,26.5,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,27.8
2016,0,28,25.3,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,26.6
2017,0,26.9,24.1,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,25.5
2018,0,25.7,22.8,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,24.3
2019,0,24.7,21.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,23.1
2020,0,23.8,20.5,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,22.1
2021,0,23.1,19.6,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,21.3
2022,0,22.7,18.9,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,20.8
2023,0,22.4,18.3,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,20.3
2024,0,22.2,17.8,Proportion of children moderately or severely stunted [2.2.1],Male,Percent,Units,22.2,17.8,19.9
2000,3,2140.5,1958,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2048.5
