Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Economic activity,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2018,C,Kenya National Bureau of Statistics,Municipal waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1836171.7
2019,C,Kenya National Bureau of Statistics,Municipal waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,2194247.0
2020,C,Kenya National Bureau of Statistics,Municipal waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,3109500.0
2021,C,Kenya National Bureau of Statistics,Municipal waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,3450500.0
2014,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data is for the Capital City only, Nairobi.","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,330981.0
2015,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data is for the Capital City only, Nairobi.","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,281989.2
2016,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1157119.5
2017,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1079035.0
2018,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1226680.0
2019,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1456795.2
2020,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,1969100.0
2021,C,Kenya National Bureau of Statistics,Municipal waste treated by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu","Data for the Counties with the Three Cities in The Country; Nairobi, Mombasa and Kisumu",,,2354600.0
2017,C,Kenya National Bureau of Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Mining and quarrying,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data refers to solid waste.Source: Census of Industrial Production, 2017.","Data refers to solid waste.Source: Census of Industrial Production, 2017.",,,8253.0
2017,C,Kenya National Bureau of Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Manufacturing,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data refers to solid waste.Source: Census of Industrial Production, 2017.","Data refers to solid waste.Source: Census of Industrial Production, 2017.",,,712860625.0
2017,C,Kenya National Bureau of Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,"Electricity, gas, steam and air conditioning supply",Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017.Environmental Statistics Report for Iraq for the year 2013 / Source: Ministry of Municipalities and Public Works and the Municipality of Baghdad (except for the Kurdistan Region).","Source: Census of Industrial Production, 2017.Environmental Statistics Report for Iraq for the year 2013 / Source: Ministry of Municipalities and Public Works and the Municipality of Baghdad (except for the Kurdistan Region).",,,405.0
2017,C,Kenya National Bureau of Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Construction,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Data refers to solid waste.Source: Census of Industrial Production, 2017.","Data refers to solid waste.Source: Census of Industrial Production, 2017.",,,9891700.2
