Year,UPPER_BOUND,LOWER_BOUND,Value
2000,43.35002,43.35002,43.35002
2001,43.40502,43.40502,43.40502
2002,43.40502,43.40502,43.40502
2003,43.40502,43.40502,43.40502
2004,43.40502,43.40502,43.40502
2005,43.41586,43.41586,43.41586
2006,43.47741,43.47741,43.47741
2007,43.47741,43.47741,43.47741
2008,43.47741,43.47741,43.47741
2009,43.59527,43.59527,43.59527
2010,43.68767,43.68767,43.68767
2011,43.91556,43.91556,43.91556
2012,43.91556,43.91556,43.91556
2013,43.917,43.917,43.917
2014,43.917,43.917,43.917
2015,43.917,43.917,43.917
2016,43.917,43.917,43.917
2017,43.94148,43.94148,43.94148
2018,43.94148,43.94148,43.94148
2019,43.94148,43.94148,43.94148
2020,43.94148,43.94148,43.94148
2021,43.94148,43.94148,43.94148
2022,43.94148,43.94148,43.94148
2023,43.94148,43.94148,43.94148
2024,43.94148,43.94148,43.94148
