Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Value
2015,A,3,CA,3-year average of the period 2014-2016. For years when official national data are not available the values are integrated with FAO data or estimates.,24483.1,23021.2,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,23752.2
2016,A,3,CA,3-year average of the period 2015-2017. For years when official national data are not available the values are integrated with FAO data or estimates.,26993.3,25499,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,26246.1
2017,A,3,CA,3-year average of the period 2016-2018. For years when official national data are not available the values are integrated with FAO data or estimates.,30577.3,29050.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,29814
2018,A,3,CA,3-year average of the period 2017-2019. For years when official national data are not available the values are integrated with FAO data or estimates.,32955.8,31397.5,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,32176.7
2019,A,3,CA,3-year average of the period 2018-2020. For years when official national data are not available the values are integrated with FAO data or estimates.,35281.7,33691.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,34486.8
2020,A,3,CA,3-year average of the period 2019-2021. For years when official national data are not available the values are integrated with FAO data or estimates.,36937.2,35315.5,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,36126.4
2021,A,3,CA,3-year average of the period 2020-2022. For years when official national data are not available the values are integrated with FAO data or estimates.,39130.4,37476.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,38303.6
2022,A,3,CA,3-year average of the period 2021-2023. For years when official national data are not available the values are integrated with FAO data or estimates.,40209.3,38523.4,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,39366.3
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,NaN
2015,E,3,G,3-year average of the period 2014-2016.,7697.7,7316.8,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,7507.3
2016,E,3,G,3-year average of the period 2015-2017.,8564.5,8171.9,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,8368.2
2017,E,3,G,3-year average of the period 2016-2018.,9787.1,9382.6,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,9584.8
2018,E,3,G,3-year average of the period 2017-2019.,10646.4,10229.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,10438
2019,E,3,G,3-year average of the period 2018-2020.,11507.8,11078.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,11293.2
2020,E,3,G,3-year average of the period 2019-2021.,12162.9,11721,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,11942
2021,E,3,G,3-year average of the period 2020-2022.,12859.1,12397.6,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,12628.4
2022,E,3,G,3-year average of the period 2021-2023.,13116.6,12636.5,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,12876.6
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,NaN
2015,E,3,G,3-year average of the period 2014-2016.,6629.7,6157.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,6393.5
2016,E,3,G,3-year average of the period 2015-2017.,7365,6878.4,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,7121.7
2017,E,3,G,3-year average of the period 2016-2018.,8403.5,7902.3,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,8152.9
2018,E,3,G,3-year average of the period 2017-2019.,9130.4,8614.5,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,8872.5
2019,E,3,G,3-year average of the period 2018-2020.,9858,9327,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,9592.5
2020,E,3,G,3-year average of the period 2019-2021.,10408.5,9862.1,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,10135.3
2021,E,3,G,3-year average of the period 2020-2022.,11274.3,10718.4,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,10996.4
2022,E,3,G,3-year average of the period 2021-2023.,11909.9,11342.8,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,11626.4
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,NaN
2015,A,0,CA,3-year average of the period 2014-2016. For years when official national data are not available the values are integrated with FAO data or estimates.,16,14,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,15
2016,A,0,CA,3-year average of the period 2015-2017. For years when official national data are not available the values are integrated with FAO data or estimates.,18.9,16.8,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,17.8
2017,A,0,CA,3-year average of the period 2016-2018. For years when official national data are not available the values are integrated with FAO data or estimates.,22.7,20.6,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,21.6
2018,A,0,CA,3-year average of the period 2017-2019. For years when official national data are not available the values are integrated with FAO data or estimates.,24.4,22.3,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,23.4
2019,A,0,CA,3-year average of the period 2018-2020. For years when official national data are not available the values are integrated with FAO data or estimates.,25.9,23.9,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,24.9
2020,A,0,CA,3-year average of the period 2019-2021. For years when official national data are not available the values are integrated with FAO data or estimates.,27.1,25,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,26.1
2021,A,0,CA,3-year average of the period 2020-2022. For years when official national data are not available the values are integrated with FAO data or estimates.,29,27,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,28
2022,A,0,CA,3-year average of the period 2021-2023. For years when official national data are not available the values are integrated with FAO data or estimates.,29.1,27,National Entity,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,28
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,NaN
2015,E,0,G,3-year average of the period 2014-2016.,17.3,15.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,16.3
2016,E,0,G,3-year average of the period 2015-2017.,20.4,18.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,19.5
2017,E,0,G,3-year average of the period 2016-2018.,24.5,22.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,23.6
2018,E,0,G,3-year average of the period 2017-2019.,26.4,24.5,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,25.5
2019,E,0,G,3-year average of the period 2018-2020.,28.1,26.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,27.1
2020,E,0,G,3-year average of the period 2019-2021.,29.4,27.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,28.4
2021,E,0,G,3-year average of the period 2020-2022.,30.7,28.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,29.7
2022,E,0,G,3-year average of the period 2021-2023.,30.1,28.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,29.1
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,NaN
2015,E,0,G,3-year average of the period 2014-2016.,14.8,12.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,13.7
2016,E,0,G,3-year average of the period 2015-2017.,17.4,15.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,16.3
2017,E,0,G,3-year average of the period 2016-2018.,20.8,18.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,19.7
2018,E,0,G,3-year average of the period 2017-2019.,22.4,20.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,21.3
2019,E,0,G,3-year average of the period 2018-2020.,23.8,21.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,22.7
2020,E,0,G,3-year average of the period 2019-2021.,24.8,22.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,23.8
2021,E,0,G,3-year average of the period 2020-2022.,27.4,25.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,26.3
2022,E,0,G,3-year average of the period 2021-2023.,28,25.9,Food and Agriculture Organization of the United Nations (FAO),Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,26.9
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,NaN
2015,A,3,CA,3-year average of the period 2014-2016. For years when official national data are not available the values are integrated with FAO data or estimates.,7512.5,6543.2,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,7027.9
2016,A,3,CA,3-year average of the period 2015-2017. For years when official national data are not available the values are integrated with FAO data or estimates.,9043,8052.2,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,8547.6
2017,A,3,CA,3-year average of the period 2016-2018. For years when official national data are not available the values are integrated with FAO data or estimates.,11084.7,10072.5,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,10578.6
