Year,COMMENT_OBS,SDG Series,Value
2023,General Government Sector,"Proportion of total government spending on essential services, health [1.a.2]",2.800051647
2000,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",3.040620427
2001,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",6.336964614
2002,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.095093724
2003,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",8.352259456
2004,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.149655688
2005,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.989756959
2006,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",6.947797186
2007,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",6.537297199
2008,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",6.531531293
2009,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",7.160422562
2010,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.696580354
2011,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",3.685563976
2012,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.147701981
2013,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",3.143384235
2017,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",3.672549599
2018,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",4.479341546
2019,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",19.3452643
2020,General Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",5.463727184
2021,Budgetary Central Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",5.838898327
2022,Central Government Sector (incl. social security funds),"Proportion of total government spending on essential services, social protection [1.a.2]",5.355428217
2023,General Government Sector,"Proportion of total government spending on essential services, social protection [1.a.2]",5.491282356
