Year,Custom Breakdown,Label for custom breakdown,Value
2020,Custom code 01,Eldoret,15.2
2020,Custom code 03,Kisumu,27.6
2020,Custom code 04,Malaba,52.0
2020,Custom code 05,Meru,18.9
2020,Custom code 06,Mombasa,58.1
2020,Custom code 07,Nairobi,58.0
2020,Custom code 08,Nakuru,12.9
2020,Custom code 09,Nyeri,23.9
