Year,NATURE,COMMENT_OBS,SDG Series,Sex,Age,Unit of measure,Nature of data points,Observation-level footnotes,Value
2019,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (number) [16.2.2]",,,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2020,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (number) [16.2.2]",,,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (number) [16.2.2]",Male,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,8
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (number) [16.2.2]",Male,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,7
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",,,"Per 100,000 population",Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,0.02
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",,,"Per 100,000 population",Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,0.01
2018,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",,,"Per 100,000 population",Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2019,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",,,"Per 100,000 population",Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2020,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",,,"Per 100,000 population",Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",Male,18 years old and over,"Per 100,000 population",Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,0.06
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population) [16.2.2]",Male,18 years old and over,"Per 100,000 population",Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,0.06
