Year,SOURCE_DETAIL,SDG Series,Value
2005,Kenya - Integrated Household Budget Survey 2005-2006,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],5.55
2015,Kenya - Integrated Household Budget Survey 2015-2016,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],5.19
2005,Kenya - Integrated Household Budget Survey 2005-2006,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],1.56
2015,Kenya - Integrated Household Budget Survey 2015-2016,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],1.4
