Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2007,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.055
2008,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.057
2009,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.066
2010,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.066
2011,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.063
2012,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.055
2013,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.057
2014,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.062
2015,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.064
2016,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.066
2017,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.068
2018,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.065
2019,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.063
