Year,Value
2000,-3.24
2001,-0.34
2002,-3.37
2003,-1.02
2004,1.11
2005,1.93
2006,2.65
2007,3.18
2008,-3.02
2009,-0.08
2010,4.52
2011,1.66
2012,1.23
2013,0.6
2014,1.73
2015,1.7
2016,0.95
2017,4.49
2018,6.59
2019,6.34
2020,-1.42
2021,3.96
2022,2.27
2023,2.63
2024,2.25
