Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",103.023848
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",73.368082
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",41.821609
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",73.467796
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",49.766272
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",46.579596
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",102.30263
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",115.128487
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",126.364475
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",115.865954
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",145.15522
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",152.030897
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",160.945044
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",206.599036
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",204.908108
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",213.666264
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",215.577422
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",224.477609
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",229.674332
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",673.502053
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",722.392601
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",371.323315
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",265.330077
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",519.504959
