Year,Value
2000,76.82
2001,78.37
2002,78.9
2003,81.75
2004,80.48
2005,79.42
2006,77.98
2007,78.53
2008,78.55
2009,76.09
2010,74.58
2011,75.25
2012,76.67
2013,75.3
2014,73.1
2015,70.42
2016,69.35
2017,69.06
2018,68.75
2019,68.14
2020,69.14
2021,67.63
2022,68.02
