Year,OBS_STATUS,NATURE,SDG Series,Observation status,Nature of data points,Value
2010,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.078353
2011,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.080141
2012,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.087267
2013,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.086211
2014,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.096461
2015,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.096216
2016,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.087069
2017,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.092875
2018,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.087732
2019,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.091375
2020,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.086366
2021,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.086622
2022,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.082498
2023,A,CA,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],Normal value,Country Adjusted,0.076625
2000,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.047302
2001,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.052687
2002,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.043643
2003,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.037076
2004,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.042139
2005,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.043781
2006,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.047812
2007,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.048216
2008,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.048425
2009,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.051512
2010,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.053613
2011,E,E,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.051489
2012,E,E,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.056843
2013,E,E,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.059127
2014,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.064524
2015,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.067237
2016,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.054995
2017,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.057401
2018,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.0661
2019,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.063321
2020,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.066433
2021,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.068887
2022,A,CA,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.078692
2023,E,E,Developing countries’ and least developed countries’ share of global services imports [17.11.1],Estimated value,Estimated,0.065029
