From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
