Year,SDG Series,Value
2017,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],26.75
2020,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],26.75
2023,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],35.84
2017,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],0.0
2020,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],0.0
2023,Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],0.0
2017,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],35.91
2020,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],35.91
2023,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],54.99
