Year,SDG Series,Unit of measure,Value
2019,"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",Number,29.0
2019,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",Percent,61.702128
2019,"Number of local governments [1.5.4, 11.b.2, 13.1.3]",Number,47.0
