Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Upper bound value,Lower bound value,Value
2021,31.8,24.5,Death rate due to road traffic injuries [3.6.1],"Per 100,000 population",31.8,24.5,28.2
2021,16851,13002,Number of deaths rate due to road traffic injuries [3.6.1],Number,16851,13002,14926.0
