Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Value
2014,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.28064
2015,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.76668
2016,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.08331
2017,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.5819
2018,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.97783
2019,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.8549
2020,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.52374
2021,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.72047
2022,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.94251
2000,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1554.87067
2001,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1539.31747
2002,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,2310.18235
2003,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3090.83347
2004,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3875.93445
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3888.73726
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3898.61925
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3898.09779
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3875.7358
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3868.33914
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3840.65086
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3823.38957
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3809.20547
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3799.35867
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3791.22011
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3808.23793
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3819.32419
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3836.78102
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3850.64396
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3846.33955
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3834.74479
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3841.63292
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3849.40723
2000,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.26791
2001,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.26523
2002,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.39805
2003,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.53256
2004,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66784
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67004
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67175
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67166
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.6678
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66653
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66176
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65878
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65634
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65464
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65324
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65617
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.65808
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66109
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66348
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66274
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66074
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66193
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.66327
2000,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1563.06707
2001,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1552.34161
2002,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,2337.07328
2003,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3127.94998
2004,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3921.88684
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3938.76244
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3947.98577
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3946.74995
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3945.48155
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3936.32069
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3925.14281
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3925.5725
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3931.52003
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3933.39722
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3940.75207
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3947.80086
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3949.70585
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3951.53812
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3941.29985
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3942.98652
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3950.47068
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3955.39883
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3957.03236
2000,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.26932
2001,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.26747
2002,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.40269
2003,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.53896
2004,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67576
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67866
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68025
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68004
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67982
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67824
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67632
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67639
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67742
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67774
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67901
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68022
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68055
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68087
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.6791
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.67939
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68068
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68153
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.68181
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-10.70337
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1.26268
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-6.69266
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1.01691
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.08835
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-5.73569
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1.55291
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-0.31502
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-3.13899
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,9.94164
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,21.85447
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,13.08154
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,21.7036
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5.84367
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6.35379
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-5.41542
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,26.60842
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,21.03208
2023,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,22.90231
2024,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in minimum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6.90218
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,4902.11084
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5559.00977
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5122.28613
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5545.51807
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5429.9458
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5174.8208
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5574.94287
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5472.39893
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5317.37207
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6035.45801
