Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Value
2014,E,6,E,3-year average of the period 2013-2015.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,8.6
2015,E,6,E,3-year average of the period 2014-2016.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,9.6
2016,E,6,E,3-year average of the period 2015-2017.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,10.5
2017,E,6,E,3-year average of the period 2016-2018.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,11.3
2018,E,6,E,3-year average of the period 2017-2019.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,11.3
2019,E,6,E,3-year average of the period 2018-2020. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,11.9
2020,E,6,E,3-year average of the period 2019-2021. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,13.5
2021,E,6,E,3-year average of the period 2020-2022. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,16.5
2022,E,6,E,3-year average of the period 2021-2023. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Number of undernourish people [2.1.1],Number,Millions,18.7
2023,O,6,_X,NaN = A figure was not provided,NA,Number of undernourish people [2.1.1],Number,Millions,NaN
