Year,OBS_STATUS,COMMENT_OBS,SOURCE_DETAIL,Sex,Occupation,Observation status,Observation-level footnotes,Source details,Value
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,62.81
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,21.22
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,29.36
2005,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Not elsewhere classified,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,9.4
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,47.87
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,94.77
2005,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,69.44
2019,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,634.0
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,248.52
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,332.35
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,182.07
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,210.84
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,75.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,157.87
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,70.86
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,214.33
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,24.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,60.91
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,15.04
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,25.6
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,15.84
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,395.69
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,29.8
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,84.71
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,17.56
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,26.81
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,51.14
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,103.15
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,83.93
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,330.03
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,295.6
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,549.47
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,170.18
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,279.63
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,86.01
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,264.98
