Year,Value
2010,-0.28
2011,1.36
2012,-1.5
2013,-0.39
2014,-0.32
2015,0.9
2016,0.41
2017,0.26
2018,-2.2
2019,0.45
2020,0.2
2021,0.1
2022,0.59
2023,-0.32
