Year,SDG Series,Type of product,Value
2022,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,0.0
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,17.83447
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,16.29948
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,17.80115
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,15.97124
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,17.57748
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,17.57748
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,19.63673
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,20.00904
2021,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,20.17598
2022,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,20.03145
2023,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Textiles,19.11563
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",,5.52729
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",,6.52953
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",,7.8313
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",,6.67208
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",,10.35771
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",,10.55579
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",,8.48553
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",,10.24323
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",,9.67269
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",,8.5096
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",,10.39507
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,11.47358
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,14.74296
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Agriculture products,15.91851
