Year,SOURCE_DETAIL,SDG Series,Source details,Value
2014,"DHS 2014. UNFPA Global Database, 2025.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]","DHS 2022. UNFPA Global Database, 2025.",56.0
2022,"DHS 2022. UNFPA Global Database, 2025.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]","DHS 2022. UNFPA Global Database, 2025.",64.8
2014,"DHS 2014. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",89.4
2022,"DHS 2022. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",92.3
2014,"DHS 2014. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",80.5
2022,"DHS 2022. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",86.8
2014,"DHS 2014. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",77.2
2022,"DHS 2022. UNFPA Global Database, 2024.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],"DHS 2022. UNFPA Global Database, 2024.",76.8
