Year,SDG Series,Sex,Age,Degree of urbanisation,Value
2021,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,,0.70958
2021,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,Rural,0.71875
2021,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,Urban,0.67708
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,,0.36375
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,Rural,0.33042
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,Urban,0.42125
2021,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,,0.39792
2021,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,Rural,0.37833
2021,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,Urban,0.5075
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,,0.1375
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,Rural,0.15667
2021,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,Urban,0.09708
2021,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,,0.49792
2021,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,Rural,0.40542
2021,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,Urban,0.61042
2021,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,,0.34083
2021,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,Rural,0.40208
2021,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,Urban,0.22625
2021,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,,0.25917
2021,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,Rural,0.32
2021,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,Urban,0.0775
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,,16.29625
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,Rural,16.54708
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,Urban,15.86208
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,,11.33917
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,Rural,11.5575
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,Urban,10.08667
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,,16.615
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,Rural,16.62083
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,Urban,16.6075
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,,17.60333
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,Rural,18.5275
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,Urban,16.39875
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,,15.3825
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,Rural,15.89708
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,Urban,14.03
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,,15.15333
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,Rural,15.56417
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,Urban,13.65083
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,,3.2475
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,Rural,3.03875
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,Urban,3.61167
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,,2.8725
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,Rural,2.47833
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,Urban,5.04667
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,,4.10708
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,Rural,3.6475
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,Urban,5.085
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,,2.93708
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,Rural,2.74667
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,Urban,3.16708
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,,3.26083
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,Rural,3.23
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,Urban,3.31833
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,,2.93083
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,Rural,3.06833
2021,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,Urban,2.52083
