Year,SDG Series,Unit of measure,Value
2005,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,25000.0
2006,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,3434.0
2007,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,116.0
2008,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,9733.0
2009,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,50816.0
2010,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,36503.0
2011,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,5535.0
2012,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,12419.0
2013,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1485.0
2014,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1931.0
2015,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,17700.0
2016,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,2493.0
2017,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,28.0
2019,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1043257.0
2020,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,2464.0
2021,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1495.0
2022,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,4151.0
2023,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1700.0
2005,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",69.839261308457
2006,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",9.30522234874868
2007,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.304971436664439
2008,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",24.8250595930236
2009,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",125.754502888981
2010,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",87.7506189095408
2011,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",12.9448064091923
2012,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",28.2968334410196
2013,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",3.30096894441748
2014,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",4.19313706585505
2015,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",37.5887748110867
2016,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",5.17867928804772
2017,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",0.0569131533330192
2019,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2037.49882794557
2020,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",4.71873956644359
2021,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.80913834688804
2022,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",7.65126581078045
2023,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",3.07197439028672
2006,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,2.0
2007,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,116.0
2008,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,513.0
2010,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,15.0
2011,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,27.0
2012,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,7.0
2013,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,13.0
2014,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,111.0
2015,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,952.0
2016,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,605.0
2017,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,8.0
2019,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,712060.0
