Year,Value
2000,-2.5
2001,1.2
2002,-2.5
2003,-0.2
2004,1.9
2005,2.7
2006,3.1
2007,3.7
2008,-2.8
2009,4.6
2010,5.0
2011,2.3
2012,1.8
2013,1.3
2014,2.6
2015,2.7
2016,2.0
2017,1.6
2018,3.5
2019,3.1
2020,-2.2
2021,5.6
2022,2.9
2023,3.5
