Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2020,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2021,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2022,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2022","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2000,IFC 2000 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.57471
2005,IFC 2005 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.5618
2010,IFC 2010 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54945
2015,IFC 2015 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54348
2016,IFC 2016 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54348
2017,IFC 2017 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54348
2018,IFC 2018 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54348
2019,IFC 2019 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.5435
2020,IFC 2020 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54054
2021,IFC 2021 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.54054
2022,IFC 2022 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.53763
2023,IFC 2023 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2023 Annual Report Volume 2,0.53763
2000,IMF Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.5618
2005,IMF Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.55249
2010,IMF Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.54945
2015,IMF Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.53191
2016,IMF Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.53191
2017,IMF Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.5291
2018,IMF Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.5291
2019,IMF Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.5291
2020,IMF Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.5291
2021,IMF Annual Report 2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.52632
2022,IMF Annual Report 2022,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.52632
2023,IMF Annual Report 2023,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2023,0.52632
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52083
