Year,SDG Series,Value
2015,Proportion of government spending which benefits the poorest 20 percent [1.b.1],26.07222
2015,Proportion of government spending on education which benefits the poorest 20 percent [1.b.1],18.82168
2015,Proportion of government spending on health which benefits the poorest 20 percent [1.b.1],16.31854
2015,Proportion of government spending on social transfers which benefits the poorest 20 percent [1.b.1],43.07643
