Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,Custom Breakdown,Label for custom breakdown,Observation-level footnotes,Upper bound value,Lower bound value,Value
2023,Mooring Name: Kilifi | LATITUDE: -3.620 | LONGITUDE: 39.884,8.06667,7.36,Custom code 09,Kilifi,Mooring Name: Kilifi | LATITUDE: -3.620 | LONGITUDE: 39.884,8.06667,7.36,7.80111
2021,Mooring Name: Lamu | LATITUDE: -2.217 | LONGITUDE: 40.979,7.989,7.95,Custom code 10,Lamu,Mooring Name: Lamu | LATITUDE: -2.217 | LONGITUDE: 40.979,7.989,7.95,7.97
2021,Mooring Name: Mombasa | LATITUDE: -4.002 | LONGITUDE: 39.750,8.065,8.012,Custom code 11,Mombasa,Mooring Name: Mombasa | LATITUDE: -4.002 | LONGITUDE: 39.750,8.065,8.012,8.028
2021,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.015,7.89,Custom code 12,Vanga,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,7.944
2022,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.051,7.812,Custom code 12,Vanga,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,7.916
2023,Mooring Name: Vanga  | LATITUDE: -4.680 | LONGITUDE: 39.268,8.00975,7.92667,Custom code 12,Vanga,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,7.96214
2024,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,Custom code 12,Vanga,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,8.06
2022,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.002 | LONGITUDE: 39.750,8.016,7.843,Custom code 13,Mombasa_Coral Garden,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.000 | LONGITUDE: 39.750,8.16,7.90606,7.929
2023,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.000 | LONGITUDE: 39.750,8.16,7.90606,Custom code 13,Mombasa_Coral Garden,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.000 | LONGITUDE: 39.750,8.16,7.90606,8.03806
2022,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,7.974,7.85,Custom code 14,Mombasa_Nyali,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,7.94
2023,Mooring Name: Mombasa_Nyali | LATITUDE: -4.060 | LONGITUDE: 39.724,8.16,8.00333,Custom code 14,Mombasa_Nyali,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,8.08878
2024,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,Custom code 14,Mombasa_Nyali,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,8.03
2022,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.023,7.925,Custom code 15,Shimoni_Chanjale,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,7.959
2023,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.670 | LONGITUDE: 39.344,8.185,7.79,Custom code 15,Shimoni_Chanjale,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,7.96722
2024,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,Custom code 15,Shimoni_Chanjale,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,8.085
2022,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.026,7.899,Custom code 16,Shimoni_Wasini,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,7.95
2023,Mooring Name: Shimoni_Wasini | LATITUDE: -4.650 | LONGITUDE: 39.364,7.96,7.73,Custom code 16,Shimoni_Wasini,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,7.86556
2024,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,Custom code 16,Shimoni_Wasini,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,8.055
2024,Mooring Name: Lamu_Iweni | LATITUDE: -2.217 | LONGITUDE: 40.979,NaN,NaN,Custom code 17,Lamu_Iweni,Mooring Name: Lamu_Iweni | LATITUDE: -2.217 | LONGITUDE: 40.979,NaN,NaN,8.195
